Time,Cardiff Blues,Home,Away,London Wasps
0,start of first half,0,0,start of first half
12,Fish - try,5,0,
13,Davies - conversion,7,0,
14,,7,3,TW Bell - penalty goal
24,,7,6,TW Bell - penalty goal
35,,7,11,Daly - try
39,,7,14,TW Bell - penalty goal
40,end of first half,0,0,end of first half
40,start of second half,0,0,start of second half
44,Davies - penalty goal,10,14,
55,Sweeney - sub on;Davies - sub off,0,0,
56,,10,17,TW Bell - penalty goal
57,,0,0,Davies - sub on;Holmes - sub off
58,James - try,15,17,
62,Lewis - sub on;Jones - sub off,0,0,du Plessis - sub off;Everard - sub on
64,,0,0,Southwell - sub on;LR Thomas - sub off
66,Breeze - sub on;R Williams - sub off;Hobbs - sub off;Trevett - sub on,0,0,
69,Sweeney - try,20,17,
70,Sweeney - conversion;Cook - sub on;Reed - sub off,22,17,
71,Hewitt - sub on;T Williams - sub off,0,0,Swainston - sub off;Taylor - sub on
74,,0,0,Wentzel - sub off;Hughes - sub on
81,end of second half,0,0,end of second half
