Time,London Irish,Home,Away,Sale Sharks
0,start of first half,0,0,start of first half
2,,0,5,Peel - try
17,,0,8,Cipriani - penalty goal
22,Garvey - try,5,8,
23,Humphreys - conversion,7,8,
30,,0,0,Powell - sub off;Myall - sub on
31,Humphreys - penalty goal,10,8,
37,,10,11,Cipriani - penalty goal
38,,10,16,Cipriani - try
39,,10,18,Cipriani - conversion
41,end of first half,0,0,end of first half
40,start of second half,0,0,start of second half
43,,10,21,Cipriani - penalty goal
50,Skivington - try;Gray - sub on;Hala'ufia - sub off,15,21,
51,Humphreys - conversion,17,21,
56,,0,0,Buckley - sub on;Cobilas - sub off
61,Yanuyanutawa - sub on;Corbisiero - sub off,0,0,
63,Garvey - try,22,21,
64,Humphreys - conversion,24,21,
71,,0,0,Taylor - sub off;Cruse - sub on
72,Halavatau - sub off;Griffiths - sub on;Blaney - sub off;Ellis - sub on,0,0,Peel - sub off;Cliff - sub on
73,,0,0,Uys - sub on;Flynn - sub on;Cipriani - sub off;Harrison - sub off
75,Humphreys - penalty goal,27,21,
76,Geraghty - try,32,21,
77,Humphreys - conversion;Shingler - sub on;Skivington - sub off;Low - sub on;Humphreys - sub off,34,21,
80,,34,26,Amesbury - try
81,end of second half;end of half,34,28,Miller - conversion;end of second half;end of half
